Time (s),Channel 1 (V),Channel 2 (V)
-0.001024,-1.682699358007957,0.1197489347417343
-0.00102375,-1.682699358007965,0.1197489347417258
-0.0010235,-1.70108963569257,0.1010863407246558
-0.00102325,-1.701089635692579,0.1048188595280631
-0.001023,-1.69005546908181,0.1048188595280647
-0.00102275,-1.682699358007957,0.1160164159383169
-0.0010225,-1.69005546908181,0.1048188595280647
-0.00102225,-1.682699358007955,0.1048188595280647
-0.001022,-1.679021302471026,0.1048188595280715
-0.00102175,-1.671665191397185,0.1197489347417276
-0.0010215,-1.679021302471029,0.1085513783314822
-0.00102125,-1.664309080323333,0.1122838971348996
-0.001021,-1.65695296924948,0.1122838971348996
-0.00102075,-1.653274913712553,0.1234814535451517
-0.0010205,-1.660631024786404,0.1048188595280664
-0.00102025,-1.656952969249482,0.1085513783314805
-0.00102,-1.649596858175635,0.1085513783314822
-0.00101975,-1.645918802638704,0.1234814535451517
-0.0010195,-1.653274913712553,0.1048188595280647
-0.00101925,-1.653274913712553,0.1122838971348996
-0.001019,-1.645918802638697,0.1048188595280715
-0.00101875,-1.631206580491015,0.1197489347417276
-0.0010185,-1.645918802638697,0.1048188595280715
-0.00101825,-1.63856269156486,0.1048188595280647
-0.001018,-1.631206580491008,0.1010863407246473
-0.00101775,-1.620172413880227,0.1160164159383169
-0.0010175,-1.631206580491008,0.1010863407246473
-0.00101725,-1.620172413880224,0.1085513783314771
-0.001017,-1.612816302806378,0.09735382192123335
-0.00101675,-1.609138247269455,0.1048188595280613
-0.0010165,-1.627528524954076,0.5228609655108153
-0.00101625,-1.620172413880227,0.5713837099552417
-0.001016,-1.61281630280638,0.5788487475620765
-0.00101575,-1.609138247269456,0.5713837099552433
-0.0010155,-1.616494358343306,0.5751162287586523
-0.00101525,-1.616494358343306,0.5601861535449962
-0.001015,-1.601782136195611,0.5676511911518208
-0.00101475,-1.598104080658683,0.5788487475620765
-0.0010145,-1.605460191732532,0.5713837099552417
-0.00101425,-1.594426025121751,0.5751162287586591
-0.001014,-1.587069914047896,0.5713837099552433
-0.00101375,-1.572357691900211,0.5751162287586556
-0.0010135,-1.583391858510976,0.5676511911518277
-0.00101325,-1.576035747437128,0.5713837099552417
-0.001013,-1.56867963636328,0.5713837099552417
-0.00101275,-1.561323525289426,0.5825812663654939
-0.0010125,-1.576035747437128,0.5676511911518243
-0.00101225,-1.568679636363275,0.5788487475620714
-0.001012,-1.557645469752509,0.5676511911518294
-0.00101175,-1.553967414215579,0.57138370995524
-0.0010115,-1.565001580826353,0.5601861535449895
-0.00101125,-1.553967414215578,0.5639186723484069
-0.001011,-1.54661130314173,0.5639186723484069
-0.00101075,-1.535577136530955,0.5825812663654888
-0.0010105,-1.546611303141727,0.5713837099552417
-0.00101025,-1.539255192067885,0.5713837099552417
-0.00101,-1.53557713653095,0.5639186723484069
-0.00100975,-1.524542969920179,0.5751162287586591
-0.0010095,-1.539255192067881,0.5788487475620765
-0.00100925,-1.531899080994028,0.5751162287586591
-0.001009,-1.520864914383251,0.5788487475620799
-0.00100875,-1.517186858846329,0.5863137851689079
-0.0010085,-1.531899080994022,0.5676511911518327
-0.00100825,-1.513508803309406,0.5713837099552417
-0.001008,-1.506152692235557,0.5676511911518243
