Time (s),Channel 1 (V),Channel 2 (V)
-0.01024,-1.637459274903778,0.7990673569637022
-0.0102375,-1.636907566573239,0.802426623886778
-0.010235,-1.634149024920544,0.8063457686303698
-0.0102325,-1.632493899928929,0.8141840581175428
-0.01023,-1.62899974716885,0.8154904396987389
-0.0102275,-1.626425108293002,0.8162369434594223
-0.010225,-1.623850469417155,0.8156770656389097
-0.0102225,-1.620908024987616,0.8169834472201053
-0.01022,-1.61870119166546,0.8151171878183971
-0.0102175,-1.616862163896996,0.8149305618782284
-0.010215,-1.614471427797996,0.8195962103824981
-0.0102125,-1.61226459447584,0.8216490957243773
-0.01021,-1.608954344492609,0.8209025919636941
-0.0102075,-1.60840263616207,0.8250083626474533
-0.010205,-1.605644094509376,0.8272478739295037
-0.0102025,-1.602517747302989,0.8285542555106998
-0.0102,-1.599759205650297,0.8307937667927493
-0.0101975,-1.598287983435525,0.8309803927329211
-0.010195,-1.595161636229137,0.8322867743141187
-0.0101925,-1.591483580692214,0.8354594152970221
-0.01019,-1.590380164031136,0.8363925449978762
-0.0101875,-1.587805525155289,0.8360192931175346
-0.010185,-1.584863080725749,0.8414314453824898
-0.0101825,-1.581920636296211,0.8431110788440269
-0.01018,-1.580081608527747,0.8444174604252238
-0.0101775,-1.576403552990823,0.8490831089294935
-0.010175,-1.574932330776052,0.8539353833739382
-0.0101725,-1.572909400230742,0.8556150168354794
-0.01017,-1.570518664131742,0.8628934285021399
-0.0101675,-1.567208414148509,0.8664393213653865
-0.010165,-1.563714261388431,0.8707317179893165
-0.0101625,-1.563162553057892,0.8765171221346135
-0.01016,-1.559668400297815,0.8791298852970044
-0.0101575,-1.555990344760888,0.8806228928183726
-0.010155,-1.553783511438734,0.8796897631175187
-0.0101525,-1.551208872562885,0.8793165112371766
-0.01015,-1.547714719802806,0.8793165112371774
-0.0101475,-1.546427400364883,0.8809961446987143
-0.010145,-1.543484955935342,0.8834222819209356
-0.0101425,-1.542381539274265,0.8852885413226443
-0.01014,-1.540542511505802,0.88435541162179
-0.0101375,-1.537600067076264,0.8871548007243518
-0.010135,-1.53428981709303,0.890140815767087
-0.0101325,-1.531715178217181,0.8914471973482826
-0.01013,-1.528221025457103,0.890140815767087
-0.0101275,-1.526381997688639,0.8921937011089677
-0.010125,-1.523071747705408,0.8946198383311879
-0.0101225,-1.520497108829561,0.8998453646559723
-0.01012,-1.518841983837944,0.9018982499978518
-0.0101175,-1.515715636631558,0.900218616536314
-0.010115,-1.512589289425173,0.9030180056388758
-0.0101125,-1.510750261656709,0.9054441428610984
-0.01011,-1.507256108896629,0.9061906466217848
-0.0101075,-1.503578053359706,0.9127225545277623
-0.010105,-1.501371220037549,0.9160818214508404
-0.0101025,-1.498612678384857,0.9214939737157932
-0.0101,-1.496221942285856,0.9291456372627989
-0.0100975,-1.493831206186855,0.9345577895277517
-0.010095,-1.490520956203622,0.9392234380320259
-0.0100925,-1.489601442319391,0.946128597818345
-0.01009,-1.486107289559311,0.9478082312798859
-0.0100875,-1.484084359014002,0.9457553459380066
-0.010085,-1.482797039576079,0.9461285978183481
-0.0100825,-1.479486789592847,0.9453820940576646
-0.01008,-1.477647761824384,0.9457553459380064
-0.0100775,-1.475440928502229,0.9451954681174938
-0.010075,-1.471762872965306,0.9556465207670577
-0.0100725,-1.466797497990455,0.9569529023482586
-0.01007,-1.464958470221994,0.956579650467917
-0.0100675,-1.462935539676684,0.9647911918354352
-0.010065,-1.46109651190822,0.9718829775619298
-0.0100625,-1.458337970255527,0.9752422444850039
-0.01006,-1.454843817495449,0.9771085038867126
-0.0100575,-1.452636984173294,0.9763620001260291
-0.010055,-1.450062345297446,0.9799078929892756
-0.0100525,-1.44840722030583,0.983080533972179
-0.01005,-1.447119900867906,0.9847601674337183
-0.0100475,-1.445464775876288,0.9843869155533785
-0.010045,-1.441235012008826,0.9886793121773065
-0.0100425,-1.438844275909824,0.9894258159379903
-0.01004,-1.437373053695055,0.9899856937585026
-0.0100375,-1.434798414819207,0.995211220083287
-0.010035,-1.432775484273898,0.9993169907670462
-0.0100325,-1.431672067612821,1.002676257690122
-0.01003,-1.42836181762959,1.010887799057636
-0.0100275,-1.426338887084279,1.014060440040545
