Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
20,-0.5172394360740422,-7.277243605950758
44.9,-0.4514612616356961,-16.62743236384384
69.8,-0.4651263941327926,-25.73512575614752
94.7,-0.5343600388684354,-34.97415693965168
119.6,-0.5144798347854939,-44.84096968065023
144.5,-0.4552257484226827,-54.14073005036907
169.4,-0.4899089717120931,-63.47654444473527
194.3,-0.5699967597818318,-72.51471289723838
219.2,-0.5361905595014211,-82.62198926582906
244.1,-0.4605212381408808,-92.41210738148325
269,-0.5008234878895793,-99.73473025112979
293.9,-0.67193489681996,-110.0241473237501
318.8,-0.7614281680442492,-118.5163194205127
343.7,-0.2710404659013823,-128.242807639741
368.6,-0.5792690703173621,-139.5097699883919
393.5,-0.3469309767242123,-148.6241394863623
418.4,-0.5166890981769883,-157.7598485010093
443.3,-0.6230411910029396,-169.7668836242598
468.2,-0.8395516674793252,-176.4358832421664
493.1,-0.3748651079105646,175.1335150365194
518,-0.3074358165082979,164.918320442279
542.9,-0.4748318691553521,157.2824307947555
567.8,-0.3331730872019727,147.5526527689195
592.7,-0.3064450518324393,137.5336665878435
617.6,-0.55767699781392,129.4062651718244
642.5,-0.4232551731536648,117.6327860902514
667.4,-0.5436070431557862,110.0452284743202
692.3,-0.6901024844198439,99.35782325941599
717.2,-0.9090862166220361,91.93579996739925
742.1,-0.654739471813201,81.57228948765065
767,-0.8578725301985619,72.72139265823336
791.9,-0.3850217830631074,63.33418105480398
816.8,-0.9715129941672656,51.90370867115861
841.7,-0.784835476426926,45.14516369173123
866.6,-1.262100262941853,32.63772989550404
891.5,-1.747133263035332,23.92989084230476
916.4,-1.492516485016434,15.74052494724062
941.3,-1.560056512496696,8.98915599568457
966.2,-2.0147401444221,-2.539781129294482
991.1,-1.774872139407337,-10.08541337237361
1016,-2.068817737511415,-24.14328117330946
1040.9,-2.399066495078705,-31.25330372947099
1065.8,-2.205998905223811,-38.8714488493479
1090.7,-2.739104058610524,-49.6743353525048
1115.6,-2.572143673089532,-58.00934828278529
1140.5,-3.237776955351941,-67.08922211149184
1165.4,-3.215662601951764,-77.81957714300798
1190.3,-4.09285117542994,-89.00657717314792
1215.2,-4.471813819000889,-91.90949742825899
1240.1,-4.476193480125731,-106.2713163140276
1265,-5.191981733603358,-111.3869022661827
1289.9,-5.27470905845429,-125.9790191352824
1314.8,-5.667472552202532,-135.862182592958
1339.7,-6.34100329182311,-141.5158414393796
1364.6,-6.928680206576603,-151.0082523815292
1389.5,-7.65336718547087,-159.4823961207015
1414.4,-8.560344989686053,-171.033955991046
1439.3,-8.653756230436493,178.5095252397437
1464.2,-10.03750920341033,168.0654253978625
1489.1,-10.05048032535978,162.3282159709203
1514,-11.04480304558302,151.4566936545002
1538.9,-11.58492869180965,145.6423895433274
1563.8,-13.58344776028341,132.2927655621548
1588.7,-13.14739863990896,124.2940741452262
1613.6,-14.41494396336397,117.6749733672829
1638.5,-15.25920663042082,103.3610842449171
1663.4,-16.30119796826098,94.44218268414221
1688.3,-17.98927317730034,82.49826124137689
1713.2,-19.03388108920429,74.28781532997925
1738.1,-20.13657978802393,66.67258610494991
1763,-21.6072315807507,52.79448490937236
1787.9,-23.12665909538396,47.28344101597534
1812.8,-24.23912746704946,42.10328488376368
1837.7,-26.07667628137961,32.25085766750416
1862.6,-28.34880203810928,18.39930558055541
1887.5,-30.52852453223841,9.482727785090631
1912.4,-33.65455945098511,-1.966516750420112
