Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
20,-0.5722529431341203,-5.24124578897667
44.9,-0.6069680383027672,-11.84159440985439
69.8,-0.464240898702289,-18.43155109607671
94.7,-0.5748344809960123,-24.75485287341924
119.6,-0.5947653392814058,-30.98833094728887
144.5,-0.5807439578951542,-38.74515886686
169.4,-0.5937220452011983,-44.56347479073354
194.3,-0.3971191775105292,-50.7818622015593
219.2,-0.5476882053327516,-58.12854985604002
244.1,-0.4193135526073716,-65.45517170197553
269,-0.5374085053472232,-71.56573493667658
293.9,-0.4650240488491292,-78.30132295935601
318.8,-0.5425906898930983,-85.40328659597969
343.7,-0.5451301286731973,-92.29540975236809
368.6,-0.1723036712413243,-97.47944452251807
393.5,-0.559049275011086,-105.3965407465741
418.4,-0.189237320927054,-112.0342741273036
443.3,-0.5136147433344724,-117.9485262431237
468.2,-0.6488090273081981,-126.1422094836092
493.1,-0.3518033513467547,-132.2113322766381
518,-0.5383240635249228,-139.1274200306317
542.9,-0.4239908181035601,-145.4352856032155
567.8,-0.4982319884652062,-150.8739508174486
592.7,-0.4933471352933363,-159.1515706991512
617.6,-0.5244296751936918,-164.8578599613325
642.5,-0.7268700964008508,-169.6537071755864
667.4,-0.9370056226593858,-178.4140525097606
692.3,-0.6782645536049335,174.162151285782
717.2,-0.9632481035357194,166.8669610659538
742.1,-0.9430708839594854,160.7553844057619
767,-0.9303408676157964,155.9288957410232
791.9,-1.303248249218033,149.2070128530459
816.8,-1.349916337599256,142.6018317051313
841.7,-1.381242832502898,136.1523288713354
866.6,-1.401695701639104,129.853226358834
891.5,-1.776621016301134,121.3507537825226
916.4,-1.95604950099201,115.5855652782912
941.3,-1.983594878202485,106.887347508028
966.2,-2.222490617540418,104.0926003733721
991.1,-1.787086565680727,93.19633490667597
1016,-2.425189822318046,85.27017492879074
1040.9,-2.879854315450767,80.99650986896248
1065.8,-2.692458065205281,73.31570913677234
1090.7,-3.354611509101882,67.15940038971689
1115.6,-3.422396471923635,61.38926050511292
1140.5,-3.562713430402026,53.67810298695437
1165.4,-3.570082590815996,44.62338232741584
1190.3,-4.515931961195612,43.29879490720427
1215.2,-4.944812597361306,35.83883881180921
1240.1,-5.004221473503225,30.36555676961527
1265,-5.61944720377153,21.64630899821938
1289.9,-5.99607196182617,16.17398281868816
1314.8,-6.743559894951124,6.192656025065787
1339.7,-6.703211981240759,1.328540866240957
1364.6,-7.407447613823317,-3.053657127591038
1389.5,-7.33870170455052,-11.51261801835693
1414.4,-7.662824787507888,-17.49429260108245
1439.3,-8.549139597941531,-22.29243491714078
1464.2,-8.951321414311208,-33.3660390773756
1489.1,-10.24782975950306,-39.8996951599694
1514,-10.26615996419793,-45.21433757460631
1538.9,-10.97070843077435,-51.01490858554347
1563.8,-11.44951547504473,-59.26508805477033
1588.7,-12.56389430157111,-66.85308466727439
1613.6,-12.84903900341414,-70.22765140805029
1638.5,-13.76704947409737,-80.44622227002279
1663.4,-15.29092592108252,-84.75199254511256
1688.3,-15.3650160808996,-86.44638605945609
1713.2,-16.9535672496017,-96.80792162078063
1738.1,-17.77262508271623,-104.8255915913992
1763,-18.94632040853224,-109.193414743926
1787.9,-20.67182159238162,-118.7049640837884
1812.8,-21.09304809657677,-126.2594532121322
1837.7,-22.55373844194851,-135.3862221520661
1862.6,-23.23881304367989,-140.2964428368558
1887.5,-25.94947866974444,-141.3892655831327
1912.4,-26.14093908286968,-154.1988671793753
1937.3,-30.2022321760365,-156.4025487262659
1962.2,-31.77482766707581,-165.1409231821863
1987.1,-34.20600572650047,-173.5882994399814
2012,-38.34887408519506,175.7814488499398
2036.9,-47.59855195293866,156.0097849626358
2061.8,-62.79046692830524,-147.5537999731922
2086.7,-46.3283497926966,-21.23221242216178
2111.6,-43.63220253887764,-31.29494862716835
2136.5,-38.23653422362378,-34.3129249616459
2161.4,-37.72954154464563,-38.8555482280387
2186.3,-36.18137653868238,-48.26199753973755
2211.2,-37.1865567321767,-52.10910327438503
2236.1,-34.92091902498225,-64.18787206148043
2261,-35.71887454527327,-60.7325370896161
2285.9,-35.4893713271865,-68.80540458730792
2310.8,-35.05455887452187,-78.73117000683213
2335.7,-35.56899327810308,-88.71162797683847
2360.6,-37.39486270505564,-95.50438309695357
2385.5,-37.55955944125807,-98.59734099224126
2410.4,-37.77836394045332,-114.2516441839738
2435.3,-39.85358347157854,-114.8355765212319
2460.2,-38.85249590257646,-121.0704488047163
2485.1,-42.54300325899212,-123.0832937461791
2510,-45.87023265892311,-126.9130392096607
2534.9,-51.47391278186536,-156.0287540364048
2559.8,-55.04142472108526,-133.7738603947957
2584.7,-57.56586524755302,-14.7507591079127
2609.6,-53.48493301946641,86.73930205969877
2634.5,-49.00182839366487,22.79873506626362
2659.4,-47.83333366443724,19.20388327195692
2684.3,-43.69424251051691,12.50924941223775
2709.2,-44.45712283533651,10.10743323656835
2734.1,-42.58145138628698,-10.0615369299226
2759,-40.33687498708565,-17.76522759709842
2783.9,-40.725376533203,-21.71138665710392
2808.8,-39.46046830951486,-38.53313382264724
2833.7,-40.23135768908706,-37.11667128359622
2858.6,-39.38688643971404,-41.78390355080946
2883.5,-38.06244783161907,-43.45044086614003
2908.4,-39.60633562101205,-58.51574979062754
2933.3,-38.25193153231538,-59.2398277790745
2958.2,-39.20751421099029,-73.17584125383769
2983.1,-39.04366799874899,-79.83142042192955
3008,-40.80930759718608,-88.60577714269991
3032.9,-39.80058229446712,-97.60880676771799
3057.8,-43.79612805835418,-103.9077643713943
3082.7,-43.22902818460744,-111.3765766726839
3107.6,-44.7103527991775,-113.7387549826945
3132.5,-45.73143385033705,-122.1289235691811
3157.4,-46.93534526336042,-124.3483150408819
3182.3,-52.63927362214864,-123.5309654115602
3207.2,-61.46958433397992,-147.2752904345033
3232.1,-62.84780319235266,-95.67346984610253
3257,-60.62194434562212,16.08956651323564
3281.9,-50.08717087417413,31.8015195391306
3306.8,-51.72015206561505,44.41554950474873
3331.7,-45.13082053975593,21.85821630973789
3356.6,-46.52970287306336,-4.409190161089555
3381.5,-47.17621235756341,11.29411733596424
3406.4,-44.59075051173737,-28.66332005869126
3431.3,-44.49369962537987,-15.63191185628128
3456.2,-41.32224820774422,-28.97312505976365
3481.1,-41.6727822430503,-34.46163020882217
3506,-40.99779527884944,-24.49918742897228
3530.9,-41.81417872114663,-52.15381006263193
3555.8,-40.53678932109473,-53.51853685637096
3580.7,-40.30169827047303,-51.02645690638481
3605.6,-41.27435494524109,-60.44388694800992
3630.5,-41.76952842976863,-77.30688716581157
3655.4,-43.15754230649944,-81.25123815309064
3680.3,-44.29702776951393,-86.41375849159863
3705.2,-42.19458621487766,-84.34049623148982
3730.1,-43.68399973266736,-111.8181137119533
3755,-44.83784622198647,-97.62047243740631
3779.9,-42.53656654529341,-108.4244231141614
3804.8,-47.92174794393533,-138.5162161281338
3829.7,-53.99725962658386,-109.6855946491118
3854.6,-50.64101809918812,-93.67801064481964
3879.5,-55.02443503528337,-131.0185538515333
3904.4,-53.53890597448376,90.48015221115719
3929.3,-62.12925061801045,-66.56962321988182
3954.2,-54.32907798788952,58.14595802082515
3979.1,-50.85364585271292,-3.722195603801765
4004,-59.66185435861384,65.69622616759241
4028.9,-51.12170735038345,-13.67026205500622
4053.8,-52.813048702868,-18.83181113357387
4078.7,-48.80644063038691,5.546178460997551
4103.6,-44.53591267838787,-12.49592800941753
4128.5,-45.44464277824576,-13.92878886239748
4153.4,-43.47657739602294,-43.0148459928189
4178.3,-43.71761334754793,-50.22029638177072
4203.2,-43.03056129632901,-43.36394221834265
4228.1,-43.31261237061707,-52.53123676827006
4253,-44.14737768215603,-55.16962502836646
4277.9,-43.92995856383283,-69.64168840266096
4302.8,-43.05370380297219,-76.618263373994
