Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
20,-0.1693788277216576,-12.08865845857765
44.9,-0.1599401068799585,-27.92993143656433
69.8,-0.1721014003864272,-43.53892642564662
94.7,-0.4305889262857246,-59.00872593589565
119.6,-0.3956202847076951,-74.19881907884812
144.5,-0.4742604444242402,-90.01719305434263
169.4,-0.560954866376041,-105.3689484781561
194.3,-0.782589905912269,-121.1764465335366
219.2,-1.097956331622726,-136.4756190805166
244.1,-0.6308334757107147,-153.1330559160668
269,-0.9025915382096255,-167.8108820761792
293.9,-0.7413347528991561,176.7307791243539
318.8,-0.7893840473450138,159.8586700982816
343.7,-0.7559381022429666,143.1310200287019
368.6,-0.774665599292526,128.434249782155
393.5,-0.6831352044932009,113.6039175948688
418.4,-0.08801142108260282,98.00744987263408
443.3,-0.296818212322757,80.96578095409518
468.2,-0.0003175960779244836,66.73098556266912
493.1,-0.05473547935693159,49.21036148944867
518,0.4424871943011455,32.83682028218978
542.9,0.194151107556861,18.66774303599621
567.8,0.09168719287210005,2.311173799663223
592.7,-0.1998513829331683,-13.06465570181357
617.6,0.2920998883068542,-29.12266363289336
642.5,-0.1585946969483676,-43.24587588922718
667.4,-0.5890681158121671,-59.53695959807229
692.3,-0.8576194831226747,-73.59393167256241
717.2,-1.515389645804199,-88.15560477875215
742.1,-2.34748639062702,-106.2811044422974
767,-2.594325266931343,-116.8119020213587
791.9,-3.567589573294434,-131.5140212606018
816.8,-4.811389643388605,-150.1997146677666
841.7,-5.856294681898869,-165.6949593561074
866.6,-7.627984655762077,177.8883797373163
891.5,-9.466292868656668,163.4095048843381
916.4,-12.06283513159685,145.3147562284153
941.3,-14.33792731129193,129.4296081039015
966.2,-17.76924312292524,110.1172284870323
991.1,-22.76563090563924,93.23967972744435
1016,-31.92777570845497,56.55944168006732
1040.9,-34.45673692357526,-73.49478041657412
1065.8,-27.4237071476929,-110.6489806939456
1090.7,-23.37623984861656,-134.1767902044666
1115.6,-21.81658042232522,-152.4632034624649
1140.5,-21.89830429883503,-166.0123985544887
1165.4,-21.59412171956058,174.6169784873677
1190.3,-22.02468643837945,157.7960855725514
1215.2,-23.70838987667526,142.3379813847522
1240.1,-26.12463320288581,125.1526771489033
1265,-28.81595513545054,100.8001190951046
1289.9,-34.05014984676064,79.57943130248483
1314.8,-40.52280708300725,-19.17188976641077
1339.7,-35.52983295978446,-81.18129722231832
1364.6,-30.71278637981813,-109.1027423882552
1389.5,-28.45318798273145,-125.9975382086267
1414.4,-27.01840070628021,-148.1080183155748
1439.3,-26.7737225716054,-170.3532204079243
1464.2,-26.60285207480776,174.4547779266647
1489.1,-27.86126706522952,159.1929331000735
1514,-28.2453907235573,138.9361187459854
1538.9,-30.62811565094731,120.3917504212151
1563.8,-32.92915831851354,97.70041667367488
1588.7,-37.71336126150481,78.63687251741116
1613.6,-43.1336501623156,-22.63179356553613
1638.5,-39.84092330888175,-70.48519816431514
1663.4,-33.98480746401763,-105.1340244649486
1688.3,-31.39772748446262,-128.7411203588823
1713.2,-30.13396229009078,-148.7463885446421
1738.1,-29.83692521166692,-167.3036622130041
1763,-29.59309796694993,174.0265557107442
1787.9,-29.37173479239895,157.6345485276048
1812.8,-31.48945565821234,143.6781817223156
1837.7,-32.39883228836241,121.294998561573
1862.6,-35.50223583863306,97.08203888522507
1887.5,-40.63300391898228,62.39717950711969
1912.4,-43.19091095826033,21.75802974186846
1937.3,-40.42707517876715,-70.69995030502361
1962.2,-36.92769148736111,-102.0595761718128
1987.1,-34.1444234212957,-125.3607388519019
2012,-32.25619284839811,-147.7367226675641
2036.9,-31.95988448574932,-164.2558717939261
2061.8,-31.29285175954416,173.1144765565143
2086.7,-31.99122902673577,156.1894291212413
2111.6,-33.53590597278733,140.0901197551796
2136.5,-33.53319240266354,116.8017456518571
2161.4,-37.55359808383869,98.89358289023733
2186.3,-39.61533221795029,73.10438625271954
2211.2,-43.61223581019683,6.303105171938441
2236.1,-46.04552804618152,-51.79256005322088
2261,-40.80243109039468,-100.7759714268417
2285.9,-36.89284226668094,-117.4751464318647
2310.8,-35.11460052226531,-148.1627649771322
2335.7,-34.32742777398563,-169.285151375692
2360.6,-34.16458288699724,174.8029819855531
2385.5,-34.23545918108255,158.7114414886852
2410.4,-33.89615071670268,134.2027752225929
2435.3,-35.43537309673371,116.9172159648813
2460.2,-37.33687733749402,101.4430555063923
2485.1,-40.82349483347181,72.74122769145413
2510,-43.84382312291998,45.52234446999179
